Area,PDP,PSNR,Label
4367810,915.3326795703666,36.59787590591672,set1
4361350,912.6816813165254,36.57638349062648,set1
4312898,890.0064623564667,28.291389423425983,set1
4378936,914.2904045791872,36.5905212996369,set1
4304782,888.7166770197724,28.200564698984333,set1
4361750,916.1154064171944,36.59114016164086,set1
4324336,886.9794419301847,28.23374942614312,set1
4317490,887.1689887460122,28.276843615103907,set1
4368154,886.8409336171513,28.24464384062161,set1
4376760,913.3087083151872,36.57967050242284,set1
