Area,PDP,SSIM,Label
43312.35,929.9608148858172,0.6004203966229353,set1
43539.63,928.0154311701745,0.6284991020902263,set1
43620.32,928.5766982461304,0.848761419715328,set2
43763.85,924.8783388742994,0.6002228087288015,set1
43479.69,928.5401925576924,0.6142909483128859,set1
43699.3,925.729160347049,0.8266011523438961,set2
43672.25,928.2668500866616,0.8720041097800706,set2
43657.51,926.411105937571,0.8458581229126639,set2
43603.73,929.8357211307674,0.8034180740101213,set2
43333.4,928.5571619676346,0.6450402145862442,set1
